"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"HEPACAM",28.7885013078957,-2.06083735683752,0.566044371382004,1.89475358946799e-05,0.000168078821814031,"Down"
"NXPH4",148.649581503579,1.73129430452197,0.466833171666406,1.89399346271759e-05,0.000168078821814031,"Up"
"OR2L3",16.2279861528928,-2.81157575410115,0.791200728062892,1.89399633639834e-05,0.000168078821814031,"Down"
"HECW1",110.425958251044,-1.59562541405615,0.427384387323423,1.90675711063834e-05,0.000169055159725634,"Down"
"UTS2B",96.8517515053585,-1.57769653374169,0.422169207430947,1.92090264530439e-05,0.000170131356547545,"Down"
"CTRB2",18.131154836042,-3.35423226216891,0.463009861175808,1.92801747537546e-05,0.000170672335470312,"Down"
"TEX9",194.985814626942,-1.20060061379773,0.311639788342947,1.93557274862591e-05,0.00017125171834398,"Down"
"THRSP",300.333404164355,-2.16188268081707,0.598520379427708,1.95254763507061e-05,0.000172573448955771,"Down"
"SLITRK5",36.4498944820265,-1.68634743051636,0.455316697925006,1.95177173082713e-05,0.000172573448955771,"Down"
"HDC",136.370632753167,-1.63549412206587,0.4401672333969,1.95411951763289e-05,0.000172622376565465,"Down"
"PNPLA7",388.825239350949,-1.06616927434435,0.27345679750324,1.96440433434257e-05,0.000173440532686329,"Down"
"ANKDD1B",21.8260625602995,-1.59163696366549,0.426764491232527,1.97292203715403e-05,0.000174101896792478,"Down"
"PON1",18.3561945118778,-1.8019714860278,0.489576800051043,1.98612406598095e-05,0.000175106897652086,"Down"
"PSMA7",1126.74197897993,1.05043739691177,0.268343276955501,2.01484411642971e-05,0.000177431882918008,"Up"
"REM2",38.9955804323891,-1.71246526370833,0.464063769912239,2.02706299235742e-05,0.000178325462803176,"Down"
"TMEM221",45.7691116963028,-1.36216362283002,0.359584410082539,2.02709513226593e-05,0.000178325462803176,"Down"
"P2RY1",51.2682859316064,-1.46022826303718,0.389277268530954,2.03933920449661e-05,0.000179309534204495,"Down"
"FKSG63",365.442265870559,-1.62467701983872,0.43846417598946,2.05015157830943e-05,0.000180073417386018,"Down"
"AKAP6",222.987018047659,-1.02321657680707,0.262288563609697,2.05810518572053e-05,0.000180678400353881,"Down"
"GPAA1",1833.82212726994,1.08207397534264,0.278201800993049,2.06361329755213e-05,0.000181068181263476,"Up"
"RPUSD1",325.000448244156,1.04730046199093,0.267510521083322,2.06503491822426e-05,0.000181099182274897,"Up"
"GK",208.510980848724,-1.25955544621472,0.330264789861214,2.06637648718606e-05,0.00018112313449213,"Down"
"KIF6",47.5475017242003,-1.46225731400973,0.389995002957333,2.06840665164908e-05,0.000181207387900543,"Down"
"WLS",517.24175789924,-1.21449661238233,0.317109554442567,2.0745953620175e-05,0.000181655684798144,"Down"
"DFNB59",63.0985343768433,-1.36701043565474,0.361820669906413,2.07678091980739e-05,0.000181753175800593,"Down"
"CTB-50L17.14",88.1994274858842,-1.2259255070777,0.320430977407359,2.08615934463232e-05,0.000182479737926765,"Down"
"7-Sep",606.595881371286,-1.05590002513077,0.271563080672893,2.1148278351418e-05,0.000184770689039779,"Down"
"OR52K2",22.2215961402079,-2.40911362979191,0.676956386068318,2.12149532188229e-05,0.000185188407294277,"Down"
"ARL4D",99.9038603071257,-1.40526754964543,0.37414032760237,2.1328252139978e-05,0.000185890246929001,"Down"
"CCDC144NL",72.9066443986959,-2.08209389760766,0.578283022459763,2.15757512904482e-05,0.000187950737860061,"Down"
"CDC6",63.8163457791258,1.331071265928,0.351593688000169,2.15966644506288e-05,0.000188036289556785,"Up"
"WDR65",19.2792193856274,-1.85598185641117,0.50973938172353,2.16952807566738e-05,0.000188797946297297,"Down"
"CTSD",6524.99713442187,1.24006182418758,0.32489852709614,2.17203956286447e-05,0.000188919521137396,"Up"
"LIN9",45.0247274502777,1.15640327425035,0.300484365561514,2.17517646424109e-05,0.000189095340624692,"Up"
"OLFM1",140.111921231722,-1.01279096118604,0.259731413583637,2.19202332302505e-05,0.000190169802312798,"Down"
"SPDYA",78.1311553396687,-1.07341602550727,0.277174454870986,2.19117018669023e-05,0.000190169802312798,"Down"
"PLSCR4",277.420590592642,-1.30252623990066,0.344213300363043,2.19760886410906e-05,0.000190556856595278,"Down"
"ANKRD30B",37.5874733363491,-1.66985584731701,0.453570940780023,2.20176223859965e-05,0.000190819394011969,"Down"
"TMSB10",9748.24960643757,1.23566326270471,0.319375422059782,2.20393602332492e-05,0.000190838802261786,"Up"
"LIMD2",669.048422522556,1.08086333558105,0.27824397863214,2.22104367114109e-05,0.00019219567285954,"Up"
"ZNF582",46.9271715410088,-1.29479016665715,0.342467661672266,2.25174264881915e-05,0.000194554237424986,"Down"
"MRPS12",406.030515138115,1.0055257255893,0.25724680958408,2.25142784221146e-05,0.000194554237424986,"Up"
"IGFN1",54.4112932173139,-1.51495585897461,0.407950073703336,2.25121655780285e-05,0.000194554237424986,"Down"
"TMCC3",79.6197796390417,-1.1445649221113,0.298468117089245,2.25593648190471e-05,0.000194798538407484,"Down"
"TPSG1",29.5848390345477,-1.67847455294665,0.457700868012671,2.27748668170569e-05,0.000196406234126381,"Down"
"ARMC10",774.769786396699,-1.15390939274522,0.302125344846361,2.28345405350775e-05,0.000196692647942395,"Down"
"MRPL14",297.303211336044,1.0790882026215,0.278414819759996,2.28232313800013e-05,0.000196692647942395,"Up"
"MUC4",118.491359979311,-1.51261143573678,0.407806622976584,2.28533758364087e-05,0.000196754914768309,"Down"
"PDC",36.2269756049007,-2.46666415599302,0.698888430411737,2.29264929205391e-05,0.000197084131840253,"Down"
