"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"TRPM1",57.136877633837,-3.78963154837483,0.510728156522362,6.34276489466702e-15,7.51905947513254e-13,"Down"
"DLG2",170.933229852234,-2.49474680194535,0.3349144811613,6.66698227690873e-15,7.84851969153866e-13,"Down"
"MAST4",619.09845657844,-1.17685865297844,0.155560985733116,6.86660787767711e-15,7.91855351988995e-13,"Down"
"PTPN5",42.5652535128725,-3.12939771223096,0.42136165855515,6.78263043618483e-15,7.91855351988995e-13,"Down"
"CCL27",101.298227309602,-3.94451264254572,0.532528694167679,6.82426186282975e-15,7.91855351988995e-13,"Down"
"DPT",757.814090677088,-2.99412619042985,0.403287129465299,6.95410465881456e-15,7.96526906596111e-13,"Down"
"PSAPL1",106.158083702498,-3.9821172852949,0.538030676580322,7.0554692554769e-15,8.02713522274124e-13,"Down"
"HN1",1034.52403643476,2.25547112290342,0.302546836049031,7.43389588558562e-15,8.40129353682982e-13,"Up"
"SEMA6A",386.559817870818,-1.60484920517576,0.214689295200157,8.30848342385271e-15,9.32751066232789e-13,"Down"
"CDCA8",96.2111397273589,2.53323519658151,0.341380524307002,8.63817389844557e-15,9.63383710042429e-13,"Up"
"HPSE2",77.4950827194282,-3.52173482425667,0.47702170911302,8.71136228018774e-15,9.65196165841454e-13,"Down"
"PCSK5",865.543904498315,-3.59176539308549,0.486158842660005,9.00436087289555e-15,9.91181334528087e-13,"Down"
"LMOD1",368.224530926984,-2.31850671883199,0.312821135773222,9.25294400112378e-15,1.01197359165839e-12,"Down"
"SCN4B",104.711060980067,-1.89496295950524,0.254759320924157,9.72720958674105e-15,1.05702344175919e-12,"Down"
"RBMS3",376.635371212106,-2.13789934337555,0.288238450735198,9.87620442524472e-15,1.06637845488375e-12,"Down"
"LDB3",68.8485336751977,-3.60512756572297,0.307575103693831,1.06137371907683e-14,1.13875995479686e-12,"Down"
"ACE",6991.12612973679,-1.23292326640726,0.164960562220622,1.32044534841493e-14,1.40781066329119e-12,"Down"
"TMEM252",17.2452422282963,-4.43678786589632,0.606305243790679,1.36287823829385e-14,1.44396949347234e-12,"Down"
"RBL1",2432.23798796973,-1.2806571705364,0.172685479678185,1.42322169875931e-14,1.49792393794202e-12,"Down"
"ESR1",392.741333724147,-2.33742710106591,0.318348888360454,1.43147521204936e-14,1.49792393794202e-12,"Down"
"TMEM182",11367.4934236837,-2.88396989528699,0.3943093129298,1.62176522964394e-14,1.6866358388297e-12,"Down"
"TBC1D8B",9908.31032036677,-2.95206716064643,0.40413916240677,1.71010919213311e-14,1.76766896494149e-12,"Down"
"GRIK5",53.6781830442162,-2.18293025587781,0.297405814355941,1.79190302255717e-14,1.84099030535692e-12,"Down"
"PAQR4",382.464560929786,2.49360147424357,0.341105371076309,1.93727764274134e-14,1.97835726504525e-12,"Up"
"CCDC170",52.5768560375747,-2.43737342106846,0.333814815159346,2.01428040131734e-14,2.04467553072644e-12,"Down"
"GLDN",76.4943050117354,-2.39884849843985,0.32906202958386,2.2111667158732e-14,2.2311725099692e-12,"Down"
"SH3D19",564.58886129275,-1.30331360302376,0.176680879144865,2.35145623780784e-14,2.35869148777032e-12,"Down"
"GFPT1",263.958232379492,1.07722302956589,0.145020925424567,2.51595209270248e-14,2.50884822797014e-12,"Up"
"TLR9",667.466785926586,-1.89786000011788,0.259671812917671,2.53160146709928e-14,2.50969053042497e-12,"Down"
"TENM1",22.9257091368052,-2.39277035784512,0.329038370129678,2.63772072795855e-14,2.59968847560194e-12,"Down"
"KRT79",649.988565579235,-6.63624261240993,0.925116193808924,2.89450865059789e-14,2.8362838523084e-12,"Down"
"GNAO1",101.896633944813,-3.54711555117545,0.281356070443884,2.94640874766977e-14,2.87054718910908e-12,"Down"
"COL10A1",371.780047391256,2.48373073597266,0.342774320743994,3.13373557429869e-14,3.03560488317208e-12,"Up"
"MOSPD2",758.036602316754,-3.0765587560094,0.42656246714568,3.29340778763793e-14,3.17215050091126e-12,"Down"
"PCSK2",28.7424669854834,-3.01161234500887,0.417114387659974,3.42648212875863e-14,3.28167938117042e-12,"Down"
"C1QTNF7",86.5104680779524,-3.00304426282444,0.417424537338515,3.85341999378073e-14,3.66984133340286e-12,"Down"
"PLK1",273.347056401656,1.95815597126282,0.270540924818719,4.19967335454238e-14,3.95515903923347e-12,"Up"
"LCN10",70.6523179765059,-2.72603668949407,0.379096171358046,4.18734174753206e-14,3.95515903923347e-12,"Down"
"MRGPRF",239.96969418771,-2.44552087911314,0.33976760529053,4.28378006092178e-14,4.01207953551083e-12,"Down"
"ANKRD30BL",159.975985134676,-3.56157206067237,0.497215359841499,4.36638911426972e-14,4.06697957500551e-12,"Down"
"TMBIM4",6255.88046478368,-1.42193110200485,0.196682191424343,4.43578586495498e-14,4.10904054550365e-12,"Down"
"FOXD4L4",51.0884593776171,-3.78674605671784,0.529065182080926,4.4852754447991e-14,4.10996699136402e-12,"Down"
"FOXD4L2",51.0884593776171,-3.78674605671784,0.529065182080926,4.4852754447991e-14,4.10996699136402e-12,"Down"
"PMEL",214.96785495683,-2.86772434561813,0.399689149371308,4.54118519903471e-14,4.13882642441056e-12,"Down"
"ZBTB16",799.60683203843,-2.16301179693779,0.300311683283685,4.56645730878606e-14,4.13960343842467e-12,"Down"
"LEPR",116.968593340179,-1.59832960162597,0.220406434628259,4.95530746876789e-14,4.46821128779539e-12,"Down"
"SEMA6D",126.520771438794,-2.33557956052491,0.325032977666575,4.98211443242394e-14,4.46861396076458e-12,"Down"
"CPED1",210.799913382466,-1.94864915219591,0.270298454975387,5.1287934001745e-14,4.57596345893464e-12,"Down"
"LMNB1",415.982587049297,1.62467490213749,0.224025538556861,5.18264907783904e-14,4.59980456374489e-12,"Up"
"PITX1",222.963644208322,2.44267797148818,0.340476784743517,5.46040930710011e-14,4.82108638406047e-12,"Up"
"CYP4F3",65.046275958014,-3.1269679604216,0.437908895780052,5.58488451928345e-14,4.90543846481311e-12,"Down"
"FOSB",3119.39333028749,-2.71528951996319,0.380527434518456,5.78419301908312e-14,5.05431134327305e-12,"Down"
"TMEM212",3126.61285826993,-2.81258012526883,0.394544026651787,5.92600515187854e-14,5.15167381203308e-12,"Down"
"DUX4L4",1578.6739992706,-6.19625053253303,0.874992271895562,5.97668446010725e-14,5.16922219223154e-12,"Down"
"ZNF286A",2661.39376095131,-1.60446354354471,0.222500260211475,6.07992127067269e-14,5.23181854723063e-12,"Down"
"TCTE1",21.3414553038014,-3.94410331411694,0.554644206231337,6.4382142404105e-14,5.51215190926459e-12,"Down"
"CDH6",74.7299452999394,-1.99550683917266,0.278190857188588,6.59521892858129e-14,5.5901075638655e-12,"Down"
"CELF6",1082.96960541995,-1.66700256182698,0.231829904916128,6.5680256779827e-14,5.5901075638655e-12,"Down"
"PSG8",75.0103939549493,-3.76599980257723,0.530474485704894,6.63482994232572e-14,5.59570334240326e-12,"Down"
"ADIRF",1292.09770717473,-2.42651003038727,0.340663914043516,6.84942748132906e-14,5.74809379522229e-12,"Down"
"TMEM132C",58.8208059805881,-3.14488097907866,0.442159464939047,7.14348434893742e-14,5.96533727503385e-12,"Down"
"TMEM178A",96.7196262400687,-2.70847183999968,0.381429009630176,7.96535718378362e-14,6.56296025248225e-12,"Down"
"TIMP4",82.743707355592,-3.04839356289223,0.429919933163425,7.97528204348362e-14,6.56296025248225e-12,"Down"
"CPEB1",113.161234051413,-3.00310125220919,0.423090478996405,7.9559750070653e-14,6.56296025248225e-12,"Down"
"TACR2",68.1506671313751,-2.97550768027491,0.419985048156529,8.5992454012697e-14,7.04224193441179e-12,"Down"
"SHE",107.352733155121,-1.24753755198231,0.172549069450255,8.73399640125321e-14,7.11820706702137e-12,"Down"
"AQP1",19426.8854930871,-1.94623678089,0.27586965358165,8.84492335421359e-14,7.17412156462338e-12,"Down"
"CHL1",128.415143791641,-0.368897842982279,0.248026050775203,8.9032358789885e-14,7.18703117241014e-12,"NS"
"PLA2R1",152.008195065538,-1.55469676981173,0.21704569455757,9.73016040813715e-14,7.81733076960858e-12,"Down"
"RDH12",70.2445201232872,-3.64599401717357,0.517744745712055,9.879668206576e-14,7.90000638857908e-12,"Down"
"TRPC6",68.3951454999785,-2.03388037510048,0.28604602529233,1.00424791994321e-13,7.99249330463721e-12,"Down"
"LSP1",15177.8093623041,-1.64836467724303,0.233391979478125,1.02901557077007e-13,8.15134203537111e-12,"Down"
"DNMBP",148.113356179112,-1.44902478633429,0.20218845736461,1.04172190743348e-13,8.2136138487499e-12,"Down"
"PGM5",218.782574752265,-2.13468190032498,0.300811637029886,1.05521092798378e-13,8.28145169036161e-12,"Down"
"GCK",32.3670776871507,-4.16539857931998,0.593179926550105,1.1180530110442e-13,8.73420951300517e-12,"Down"
"POTEC",67.8679765027031,-3.33462671715337,0.474279241800875,1.14948014366812e-13,8.93852632819359e-12,"Down"
"SLC8A3",22.9028097730063,-3.32014640655605,0.471797267038323,1.16690415467732e-13,8.95084128058364e-12,"Down"
"GOLGA6A",262.96125295541,-3.61394468538966,0.514479872193268,1.15875927535485e-13,8.95084128058364e-12,"Down"
"FLAD1",581.684514359998,1.02290185704757,0.141281227217177,1.16406092460942e-13,8.95084128058364e-12,"Up"
"HOXC4",1384.36797412155,-1.41880723646027,0.198395712393815,1.21601360068979e-13,9.28552367517719e-12,"Down"
"GPM6A",40.7773973204247,-3.81190638868352,0.544108454814093,1.25949739227746e-13,9.54878325243749e-12,"Down"
"ZNF536",34.0958024339098,-4.52553525838751,0.645499548083337,1.26175521976522e-13,9.54878325243749e-12,"Down"
"MCM4",1007.8242109606,1.50972224227755,0.211182410598498,1.28859379723631e-13,9.70855202255555e-12,"Up"
"MEOX2",57.2398445119439,-2.18628288090175,0.309892365919491,1.38157396934549e-13,1.03630274019225e-11,"Down"
"GFRA1",187.878748363634,-2.36128304439372,0.335458130794254,1.42735159837921e-13,1.06592353725658e-11,"Down"
"BAI3",19.9827318190449,-3.44902928372038,0.492559759142693,1.45045296521338e-13,1.07842450290777e-11,"Down"
"CCIN",45.2652164719784,-3.82678644134667,0.548356796568814,1.53718685377536e-13,1.13792102817467e-11,"Down"
"CLSTN2",108.4764335883,-1.85636764669614,0.262864892504619,1.5532498142181e-13,1.14481264567936e-11,"Down"
"ADAMTS8",67.7651035758753,-2.33765098970753,0.332838568549527,1.58787826813781e-13,1.16526893512867e-11,"Down"
"STMN1",734.911062323878,1.6223246510247,0.229143556629322,1.83534817653158e-13,1.3392248207597e-11,"Up"
"PDE2A",327.133339657412,-1.98888434461222,0.282953962865778,1.84072311961427e-13,1.3392248207597e-11,"Down"
"PAMR1",97.928549200076,-2.21344896836351,0.316212966739154,2.01281833848897e-13,1.45817506299423e-11,"Down"
"TFPI",828.092171939673,-1.76279803702883,0.250530840583513,2.0391369269631e-13,1.47095528450547e-11,"Down"
"FHL1",1605.33933801984,-2.89193714422851,0.415279706455802,2.05125340706841e-13,1.47342575239931e-11,"Down"
"CDH8",7710.70261198039,-2.40256065565686,0.344447546945436,2.22779278537644e-13,1.58678753351687e-11,"Down"
"ATOH8",119.097306593478,-2.19328228619159,0.313902151074922,2.22106994930347e-13,1.58678753351687e-11,"Down"
"RECQL4",592.794211267061,2.16093882651345,0.309150299229241,2.26563955106176e-13,1.60699253847694e-11,"Up"
